keyword,count
gene fusion network,1
modeling,4
aminoacyl-tRNA synthetases,1
Central nervous system,1
Iran,1
trigeminal nerve volume,8
microperfusion,1
TGF,3
Gene expression,3
MEFV,4
pig,1
cancer stem cell,8
C57BL/6 mice,8
coixol,4
cell viability,4
Xenopus laevis,4
Temperature,1
stereotactic radiosurgery,8
tumor promoter,3
protection of telomeres 1 (POT1),1
Survival prognosis,4
sensory-dominant CMT,1
neuropharmaco-logical,1
Tropomyosin receptor kinase,2
Differentially expressed genes,3
Haemophagocytic lymphohistiocytosis,1
axons,2
Drug screening,4
TrkA,2
UNC13D,2
Mutation,1
plasmin,3
Allele-specific copy number,3
Extracellular matrix,3
column scatter plot,1
EMT,3
amino acid substitution,3
intestinal health,1
B16-F10,8
Cardiomyocytes,1
Caffeine Intake,1
HR = hazard ratio,8
Simulations,8
Glycated haemoglobin,1
Non-cholesterol sterol,1
Haidinger's brushes,4
Akt PKB,4
translation initiation frequency,4
flecainid test,4
ray-finned fishes,1
Extracellular Matrix,3
peptide vaccination,3
megakaryocytes,1
familial hemophagocytic lymphohistiocytosis,1
expression,1
human polarization vision,4
cytotoxic T lymphocytes,4
Munc13-4,1
Database,8
Rapamycin,1
Non-small cell lung carcinoma,3
Single-subject,8
computer simulation,4
mutation,2
Metabolomics,2
Cardiac arrhythmic syndromes,4
gene targeting,4
prognosis factor,1
C2 domains,1
3,4 diaminopyridine,2
USP1 protein,8
mannosylated liposomes,4
WDR48 protein,8
Nemaline (rod) myopathy,1
hemophagocytic lymphohistiocytosis,2
Na+ Channels,4
time to antibiotics,8
Thyroid nodules,4
(68)Ga,4
Urolithiasis,1
phosphorylated adaptor for RNA export,1
Prp8,1
PRF1,1
Rho,4
NTRK1-3,1
Rhodamine 123 (PubChem CID 65217),4
Mesenchyme,3
Intracranial aneurysm,4
Nephrolithiasis,1
Long-QT syndrome,1
Proliferation,7
TGFBI,3
Bile acid transport/absorption,1
dUTPase,1
Web browser interface,8
Cancer,4
Probabilistic Neural Network (PNN),8
Paramyotonia congenita,4
network analysis,3
CTGF,4
WPAIA,4
KB220Z,1
Oculorenal syndrome,3
depression,1
precision medicine,1
Macrophages,3
4E-BP1, eukaryotic translation initiation factor 4E (eIF4e)-binding protein 1,1
cystine reabsorption,1
TrkB,2
&lt;i&gt;SLC7A9&lt;/i&gt;,1
program death ligand 1 receptor,4
Vandetanib,1
Echocardiography,1
Sodium channels,4
NaV1.5,4
microtubules,4
Inherited channelopathies,4
Arrhythmias,4
bHLH factor,3
Papillary thyroid carcinoma,1
Ars2,1
protein disulfide isomerases,1
cytokines,4
transforming growth factor beta-induce,1
Charcot arthropathy,1
Twist1,3
Smad2/3,4
Cardiomyocyte conduction,4
family,8
support vector machine,1
arrhythmias,4
Gut peptides,1
Positron emission tomography,4
EAA, essential amino acid,1
RYR1,5
congenital indifference to pain,1
Cystinuria,4
retinitis pigmentosa,1
Genetics,4
Centralspindlin,4
atherosclerosis,4
heterozygous P482L mutation,1
breast cancer 1 associated protein 1 (BAP1),1
Ultrasound,4
Protein kinase C,1
tRNA synthetase,2
Confocal microscopy,1
kinase domain retention,1
transcription termination,4
ARIA,4
68Ga-NODAGA-PCA,4
Interdigitating dendritic cell sarcoma,8
Korea,1
RNA drug discovery,1
IFS,1
SCN5A channelopathies,1
SON-R 6-40,8
Hepatosplenomegaly,1
severe sepsis,8
Photoreceptor,1
GPVI collagen receptor,1
collagen synthesis,4
targeted therapy,2
CDKN2A,1
Ultrastable,4
social connections,8
Drug delivery,8
sperm viability,4
Extracellular matrix-cell interaction,3
Phenotype,1
Charcot–Marie–Tooth 2D,,2
Brugada-Syndrom,4
Molecular targeted therapy,1
Thyroid carcinoma,1
GARS,3
Feature selection and classification,8
lamellipodia,1
SxIP motif,4
aminoacyl-tRNA synthetase,2
Type 1 iodothyronine deiodinase,3
GLP-1,1
Spanish validation,4
corneal dystrophy,1
Renal cancer,3
CRISPR/SpCas9 plasmids,1
JSI-124,4
CI = confidence interval,8
electrophysiology,2
AA, amino acid,1
tumour microenvironment,3
SLC7A9 Gene,1
Painless fractures,1
cytokinetic ring,1
Amino acid absorption,1
Keratocyte,3
Congenital insensitivity to pain with anhidrosis,2
ADHD-attention deficit hyperactivity disorder,1
Prediction analysis for microarrays,3
Light damage,1
Brugada syndrome,10
ROCK, Rho-associated protein kinase,1
adlay,4
In silico prediction,4
Cytopenia,1
Viking navigation,4
αCOP,1
SMN,1
Questionnaire,4
snRNP biogenesis,1
TrkC,2
cerebral atrophy,1
TGF-β signaling,3
Hammerhead ribozyme,1
Retina,1
BRM,4
cardiovascular models,4
ADF, Actin depolymerizing factor,1
blood platelets,1
FMRP,1
cancer,12
neuroimaging,1
Intrusion Detection Systems (IDSs),8
vinculin,4
Impact factor,8
Novel mutation,3
actin cytoskeleton,1
IL24,4
virus,4
Positron Emission Tomography, Procainamide.,4
Fusion,1
Transforming growth factor-β-induced gene,3
Sedentary lifestyle,4
Abdominal dermis fat graft,8
Outward rectifying current,4
Cytokines,1
cystinuria,2
neuromuscular disease,1
EECs, enteroendocrine cells,1
alternative splicing,1
Older persons,8
Transforming growth factor induced gene,3
genetic defects,1
Kidney stones,1
Sciatic nerve,2
ID = integral dose,8
bodyweight,1
immunity,4
SCN5a,1
Overlap syndrome,4
Genetic,1
Vision,1
ENS, enteric nervous system,1
macrophage,4
Poaceae,4
child,1
Late sodium current,4
autism,1
melanoma susceptibility,1
Polymeric micelles,4
Natural killer cells,1
sinoatrial node,4
IDS,8
lung metastasis,4
validity,8
HSAN-IV,1
China,1
cystinuria type B,1
lysosomal degranulation defect,1
annexin A2,3
Caco-2 cells,4
Pro-Dopamine regulation (KB220 variants) Reward Deficiency Solution Sustem,1
ATF6,1
LC-MS/MS, liquid chromatography triple quadrupole mass spectrometry,1
hematopoietic stem cell transplantation,1
beta sheet propensity,3
Gene ontology,3
BBMV, brush border membrane vesicles,1
spinal muscular atrophy,1
Corneal Dystrophy,3
CKD,1
SMA,1
PHAX,1
Pharmacologic therapy,1
sarcoma,1
Interferon-γ,1
ECG,4
Renal calculi,1
neurodevelopment,1
motor neuropathy,2
Coiling,4
STAT3 inhibitor,4
Chinese,1
Familial HLH,1
SWI/SNF,4
snRNA,1
cardiac sodium channel,5
Prevention,1
low-density lipoprotein (LDL),4
CEREBELLAR ATAXIA,1
Bradycardia,4
alternative polyadenylation,1
Variability,8
Electrical sensing,4
gastrointestinal cancer,3
clinical outcome,8
Rhodopsin,2
NGF-nerve growth factor,1
functional screening assay,1
Netherlands study of depression in older persons,8
Mass Spectrometry,2
mRNA stability,4
Flecainide,4
Hereditary retinal degenerations,1
cardiomyocyte,4
sperm motility,4
SLC3A1,2
rDNA locus,4
tumor suppressor,3
entric hormone,1
survival motor neuron,1
HSAN-hereditary sensory and autonomic neuropathy,1
Fasudil,4
BRG1,4
gene fusion,1
proximal tubule,1
DNA fragmentation,4
work productivity,4
MPA, Macrocyclic polyamines,1
physostigmine,2
F-actin, Filamentous actin,1
Exome sequencing,1
N-WASP, neuronal Wiskott-Aldrich syndrome protein,1
STAT3 inhibition,4
HLA ligands,3
BPA, Branched polyamines,1
sudden cardiac arrest,4
Epithelial basement membrane dystrophy,1
mammalian cells,1
mTORC1, mechanistic target of rapamycin complex 1,1
Rho kinase inhibitor,4
plötzlicher Herztod,4
Coix lacryma-jobi,4
Cholesterol,1
Persistent inward current,1
risk stratification,4
HBED-CC,4
Rlc1, Regulatory light chain 1,1
Melanoma malignum,4
Granular corneal dystrophy type II,3
congenital myopathy,1
kidney tubule,1
STXBP2 mutation,1
mutations,1
ovarian cancer,3
Long QT syndrome type 3,4
RNAi,1
Surgery,4
fatigue,1
Comprehensive genomic profiling,1
cytokinesis,4
degeneration,2
Viability,8
inflammation,4
endocytosis,4
retina,1
tropomyosin receptor kinase inhibitor,2
conduction defects,4
peripheral neuropathy,1
BNI-PS = BNI Pain Scale,8
Autofluorescence,1
Next-generation sequencing,,2
myocardial infarction,1
ubiquitin,8
myocardial reperfusion injury,1
Hemophagocytes,1
Atrial fibrillation,4
Ganoderma lucidum,4
oncology,2
sudden unexplained nocturnal death syndrome,4
Bull,8
muscle magnetic resonance,1
cell-cell junctions,4
CYFIP1,1
Rhinitis,4
Diffusion tensor imaging,8
integrin,4
drug conjugates,4
Protein kinase A,1
sequencing,4
Management of project-related publication lists,8
Flecainid-Test,4
fission yeast,1
Spinal cord,2
GLP-1, Glucagon-like peptide-1,1
AS,4
intellectual disability,8
Deep anterior lamellar keratoplasty,3
length constant,2
Protein-protein interactions,3
Post-systolic shortening,1
zeolites,4
Microfluidics,4
l-Cysteine hydrochloride (PubChem CID: 60960),4
Interleukin-4,1
Craniofacial,3
Glycol chitosan-4-thiobutylamidine thiomer,4
Keratoconus,1
GLP-2, glucagon-like peptide-2,1
cost-effectiveness,4
behavior disorders/problems,1
membrane fusion,2
genetic modifiers,2
Sodium channel blocker,4
N-terminus,1
Dopamine homeostasis,1
K897T polymorphism,4
NTRK3,1
pyrin,4
Adolescent,1
Glioblastoma,4
outcome,1
Pain service,4
Electronic medical record and genomics,4
Retinal degeneration,1
Cytotoxicity,1
pH,1
Biophysical modeling,4
Arithmetic Residue (AR),8
Tumour,4
telomere,1
Microneedle,8
beta-blocker,1
Rhodamine 123,4
sudden infant death syndrome,4
BNI-NS = Barrow Neurological Institute Numbness Scale,8
GW788388,4
breast cancer,5
ageing,8
hereditary sensory and autonomic neuropathy type IV,1
Obesity,4
Speckle tracking,1
Sepsis,8
Cancer microenvironment,4
SLC3A1 Gene,1
Reis-Bücklers corneal dystrophy,3
protein aggregation,3
PIK3CA,1
amyloid,3
Oxysterol,1
genetic counseling,2
Heart failure,4
inpatient pain,4
scholastic achievement,8
relapse,1
AARS,1
Artificial Neural Network (ANN),8
Pinzgau,8
Ventricular ectopy,4
Adhesion,3
Japan,1
Melanoma,9
entrectinib,2
Tropomyosin and protein binding,1
friends,8
Andersen-Tawil syndrome,4
cardiac electrophysiology,4
anxiety,1
2- iminothiolane (PubChem CID: 433941),4
Sodium channel inactivation,4
stem cell,8
Sodium channel,2
SCN5A,19
extracellular matrix,7
Epidemiology,4
Rac1,4
squamous cell skin cancer,1
Prp6,1
Peripheral neuropathy,2
18FDG,4
MSCs derived from iPSCs,4
lysophospholipid,4
Neuroimaging,8
intestine,1
epidemiology,1
Depression,9
RET,1
Nutraceuticals,1
gene expression,4
GK-1,4
Gene therapy,1
TMJ discectomy,8
Temporomandibular joint,8
Charcot-Marie-Tooth disease,4
gluten free diet,1
Human Rhodopsin,1
NODAGA,4
Familial hemophagocytic lymphohistiocytosis type 3,1
Epstein–Barr virus,1
brugada syndrome,4
Induced pluripotent stem cells,1
Cryopreservation,8
anti-tumor,4
sleep disturbance,1
exocytosis,1
Carcinoma-associated fibroblast,3
axonal neuropathy,2
kinase fusion,1
Oral bioavailability,4
amino acid and peptide transporters,1
Fanconi–Bickel syndrome,1
family network,4
Laryngeal carcinoma,1
relationships,8
Pilsicainide challenge test,4
organisation,4
alkali metals,4
Migration,3
FXR1P,1
P-gp inhibition properties,4
9-β-D-glucopyranosyl adenine,4
antitumor vaccine,4
TGFBIp,3
imaging polarimetry,4
quantal content,2
sunstone,4
siRNA,1
computed tomography,1
channelopathies,4
trigeminal neuralgia,8
Electrophysiology,4
small GTPase,4
glycyl-tRNA synthetase,1
Fuchs’ endothelial corneal dystrophy,1
PGDP, proglucagon-derived peptides,1
cell signaling,4
length of hospital stay,8
SCN5A mutation,4
Intradermal injection,8
sperm preparation media,4
familial melanoma,1
mesoblastic nephroma,1
Gene mutation,5
integral dose,8
B16-F10 tumor,4
Achromatopsia,1
CIPA-congenital insensitivity to pain with anhidrosis,1
gastrointestinal system,1
Epinephrine,1
SRS = stereotactic radiosurgery,8
Mutation screening,1
genetics,5
Stress-induced hyperglycaemia,1
DSA,4
Rho GTPases,8
DNA Customization,1
cardiac arrhythmia,1
Pelvic floor disorders,4
MC1R,1
Immunotherapy,3
osteogenesis imperfecta,1
CD169,4
pruritis,2
c-MYC,4
NTRK1,4
genotype-phenotype,1
82-FIP,1
Rac1b,4
chronic pain,2
Familial combined hypercholesterolemia,1
cysteamine,1
Corneal Bowman’s layer,3
occlusion time,4
FXR2P,1
next-generation sequencing,1
cyclin-dependent kinase 4 (CDK4),1
kidney,1
distal spinal muscular atrophy type V,1
Congenital myopathy,1
Oncogene proteins,1
cardiomyocytes,4
NTRK1-neurotrophic tyrosine kinase receptor type 1,1
urethral fibroblasts,4
Open source,8
gene mutation,1
platelets,1
CYFIP2,1
platelet inhibition,1
Voltage-gated sodium channel,1
Microarray analysis,3
invasion,4
ion channels,4
Glucose-to-glycated haemoglobin ratio,1
B16-F10-luc2,4
epithelial-mesenchymal transition,4
FHL5,1
familial,1
Retinitis pigmentosa,1
5,5′-Dithiobis(2-nitrobenzoic acid) (PubChem CID: 6254),4
syngeneic metastasis models,4
kidney stones,1
dendritic cells,4
NTRK2,1
BRAF,1
action potentials,4
EMM5S, Edinburgh Minimal Media with 5 Supplements,1
Genotype,1
kinase,1
children,4
Functional analysis,3
GLP-2,1
heart rate,4
secretory vesicles,1
Procainamide,4
Molecular diagnosis,1
Reward Deficiency Syndrome (RDS),1
tumor total RNA,4
S3I-1757,4
IMT,1
Genotype-phenotype correlation,4
connexin 43,4
Long QT syndrome,16
Abelson interacting protein,1
colchicine,4
in vivo gene editing,1
ZEB1,1
Charcot–Marie–Tooth disease,1
chronic kidney disease,1
Arterial spin labelling,4
Actin,1
Gene fusions,1
pain,9
ADRP,1
synthetic polyamine,1
NTRK1/2/3,2
cancer treatment,2
Diabetes mellitus,5
voltage clamp,2
cyclin-dependent kinase inhibitor 2A (CDKN2A),1
Cranial mesoderm,3
SLC7A9,2
semicircular canals,1
sudden cardiac death,9
Emergency Department,8
familial Mediterranean fever,4
Arrhythmia,12
Rabies vaccine,8
High throughput screening,1
tumor-associated antigens,3
melanogenesis,4
neoplasms,8
S6K1, 70 kDa ribosomal protein S6 kinase 1,1
immunologic tests,1
human,4
Internal derangement,8
GLP-2R, GLP-2 receptor,1
MRA,4
Genomics,1
Axonal degeneration,,2
cytotoxicity,1
curcumin,4
inner ear,1
GFP, Green fluorescent protein,1
LDLR,4
pancreatic cancer,4
Invasiveness,4
CIPA,2
Sodium tripolyphosphate (PubChem CID: 24455),4
Glycol chitosan-based formulations,4
Extracellular vesicles,4
Next-generation sequencing,4
Chemotherapy,4
Autosomal dominant retinitis pigmentosa,1
Bone development,1
deubiquitinase,8
renal cell carcinoma,3
TN = trigeminal neuralgia,8
WISC-IV,8
endocast,1
RNA-sequencing,1
DNAzyme,1
Motility,8
TRKA,1
Sexual function assessment,4
Canine model,1
Perforin,1
Sperm,8
amino acid transporter,1
hereditary sensory,2
TGF-β,4
Hypergraph (HG),8
melanoma,9
crown ether,4
LOXO-101,2
metastasis,8
RIAS,8
Glycyl-tRNA synthetase,,2
TRPM4,4
Children,4
Cardiac connexins,4
dl-Dithiothreitol (PubChem CID: 446094),4
fundus,1
Cogan dystrophy,1
Adrenergic stimulation,1
sky polarization,4
Sodium channel activation,4
Diabetes,3
Surgical therapy,1
SCN5A D1275N mutation,4
Nebulin,1
shRNA,1
App,4
CMT2,1
neuromuscular transmission,2
sodium channel,1
NOX removal,4
G protein‐coupled receptor,4
Citations,8
Degranulation,1
Frailty,8
Hemophagocytic lymphohistiocytosis,3
BIGH3,3
Insomnia,1
